ID,reviewed,tracker items,label,alternative term,FGED alternative term,IEDB alternative term,ISA alternative term,NIAID GSCID-BRC alternative term,definition,definition source,example of usage,editor note,curator note,term editor,has curation status,logical type,equivalent classes,parent classes,main processes (has_part)  order process using preceded by,evaluant (realizes some ('evaluant role' and (' role of' some X))),evaluant (realizes some ('evaluant role' and ('inheres in' some X))),evaluant (X and ('has role' some 'evaluant role')),analyte (realizes some ('analyte role' and ('role of' some X),analyte (realizes some ('analyte role' and ('inheres in' some X),device,input (has_specified_input),main input,outputs X   (has_specified_output some X),outputs Y   (some X and (is_about Y)),objective,comment,associated axioms
OBI:0000802,FALSE,,prothrombin time assay,,,,,,"The prothrombin time is an assay most commonly measured using blood plasma. Blood is drawn into a test tube containing liquid citrate, which acts as an anticoagulant by binding the calcium in a sample. The blood is mixed, then centrifuged to separate blood cells from plasma. In newborns, whole blood is used. The plasma is analyzed by a biomedical scientist on an automated instrument at 37 degrees C, which takes a sample of the plasma. An excess of calcium is added (thereby reversing the effects of citrate), which enables the blood to clot again. For an accurate measurement the proportion of blood to citrate needs to be fixed; many laboratories will not perform the assay if the tube is underfilled and contains a relatively high concentration of citrate. If the tube is underfilled or overfilled with blood, the standardized dilution of 1 part anticoagulant to 9 parts whole blood is no longer valid. For the prothrombin time test the appropriate sample is the blue top tube, or sodium citrate tube, which is a liquid anticoagulant. Tissue factor (also known as factor III or thromboplastin) is added, and the time the sample takes to clot is measured optically. Some laboratories use a mechanical measurement, which eliminates interferences from lipemic and icteric samples. The prothrombin ratio is the prothrombin time for a patient, divided by the result for control plasma.",WEB:http://en.wikipedia.org/wiki/Prothrombin_time@2009/10/06,"PMID:19696660#The prothrombin time (PT) was quantitatively determined using RecombiPlasTin (Instrumentation Laboratory Company, Lexington, Massachusetts, USA).",2009/10/18 Alan Ruttenberg. This assay was added during the fucoidan use case exercise but still needs to be fleshed out. Only the AT-III assay has more carefully specified inputs and outputs,2009/09/28 Alan Ruttenberg. Fucoidan-use-case,Person:Alan Ruttenberg,metadata complete,subclass,,assay,,,,,,,,blood serum specimen,blood serum specimen,scalar measurement datum,blood coagulation,,,
OBI:0000805,FALSE,,antithrombin-III (AT-III) berichrome assay,,,,,,"An antithrombin-III (AT-III) assay in which exogenous bovine thrombin and heparin are added to test plasma to form a thrombin-heparin-AT complex. The residual thrombin not bound then hydrolyzes the p-nitroalanine substrate to produce a yellow color, which is read at 405 nm. The intensity of color produced is inversely proportional to the AT present. A calibration is done with standard human plasma reagent and results for a given specimen are reported as a percentage relative to the standard",WEB:http://www.clinchem.org/cgi/content/full/43/9/1783@2009/08/06,,todo Reagents from Berichrom(r) Antithrombin III (A) and standard human plasma,2009/09/28 Alan Ruttenberg. Fucoidan-use-case,,metadata complete,subclass,,human antithrombin-III (AT-III) in blood assay,,,,,,,,,,scalar measurement datum,,,Reagent using participant and (using Thing as output),(has_specified_output some 'scalar measurement datum') and ('has participant' some 'Berichrom(r) Antithrombin III (A) Kit') and (has_specified_output exactly 1 Thing)
OBI:0000808,FALSE,,spectrolyse heparin antifactor-Xa assay,,,,,,"A Spectrolyse Heparin (Xa) assay is intended for the quantitative determination of therapeutic Heparin in human plasma.

The principle inhibitor of Thrombin, Factor Xa and other coagulation serine proteases in plasma is Antithrombin III. The rate of inhibition, under normal conditions, is slow, but can be increased several thousand-fold by Heparin. This mechanism accounts for the anticoagulant effect of Heparin. Low Molecular Weight Therapeutic Heparin (LMWH) preparations appear to catalyze the reaction between Factor Xa and Antithrombin III more readily than the reaction between Thrombin and Antithrombin III while standard Heparin catalyzes both reactions equally. The Factor Xa inhibition test is the most useful test for assaying the widest variety of therapeutic Heparin preparations. In this method, when both Factor Xa and Antithrombin III are present in excess, the rate of Factor Xa inhibition is directly proportional to the Heparin concentration. The residual Factor Xa activity, measured with a Factor Xa-specific chromogenic substrate, is inversely proportional to the Heparin concentration.",WEB:http://www.kordia.nl/en/product/hemostasis/specialty_kits__reagens/598/spectrolyse_heparin_anti_xa@2009/08/06,"PMID:19696660#Antifactor-Xa (anti-Xa) was determined using spectrolyse heparin (Xa) (Trinity Biotech plc, Bray, County Wicklow, Ireland).",2009/10/18 Alan Ruttenberg. This assay was added during the fucoidan use case exercise but still needs to be fleshed out. Only the AT-III assay has more carefully specified inputs and outputs,2009/09/28 Alan Ruttenberg. Fucoidan-use-case,Person:Alan Ruttenberg,metadata complete,subclass,,assay,,,,,,,,blood serum specimen,blood serum specimen,scalar measurement datum,blood coagulation,,,
OBI:0000812,FALSE,,measuring neural activity in the caudate nucleus,,,,,,The process of measuring neural activity  in the caudate nucleus,"Jessica Turner, NIF, Dirk Derom, OBI",An SU micro-electrode was used to measure neural activity in the form of spike trains in the caudate nucleus of monkeys in response to a flashing light stimulus,,,Helen Parkinson,metadata complete,subclass,,extracellular electrophysiology recording,,,,,,,,,,,,,,
OBI:0000820,FALSE,,activated partial thromboplastin time (aPTT) assay,,,,,,"An activated partial thromboplastin time (aPTT) assay is a an assay measuring the efficacy of both the 'intrinsic' (now referred to as the contact activation pathway) and the common coagulation pathways. In order to activate the intrinsic pathway, phospholipid, an activator (such as silica, celite, kaolin, ellagic acid), and calcium (to reverse the anticoagulant effect of the oxalate) are mixed into the plasma sample . The time is measured until a thrombus (clot) forms.",WEB:http://en.wikipedia.org/wiki/Partial_thromboplastin_time@2008/10/06,PMID:19696660#The activated partial thromboplastin time (aPTT) was determined using Dade Actin FSL activated PTT reagent.,2009/10/18 Alan Ruttenberg. This assay was added during the fucoidan use case exercise but still needs to be fleshed out. Only the AT-III assay has more carefully specified inputs and outputs,2009/09/28 Alan Ruttenberg. Fucoidan-use-case,Person:Alan Ruttenberg,metadata complete,subclass,,assay,,,,,,,,blood serum specimen,blood serum specimen,scalar measurement datum,blood coagulation,,,
OBI:0000823,FALSE,,thrombin time assay,,,,,,"A  thrombin time assay is on in which after liberating the plasma from whole blood by centrifugation, bovine Thrombin is added to the sample of plasma. The clot is formed and is detected optically or mechanically by a coagulation instrument. The time between the addition of the thrombin and the clot formation is recorded as the thrombin clotting time",WEB:http://en.wikipedia.org/wiki/Thrombin_time@2009/10/06,PMID:19696660#The thrombin time was determined using thromboclotin assay kit.,2009/10/18 Alan Ruttenberg. This assay was added during the fucoidan use case exercise but still needs to be fleshed out. Only the AT-III assay has more carefully specified inputs and outputs,2009/09/28 Alan Ruttenberg. Fucoidan-use-case,Person:Alan Ruttenberg,metadata complete,subclass,,assay,,,,,,,,blood serum specimen,blood serum specimen,scalar measurement datum,blood coagulation,,,
OBI:0000860,FALSE,,northern blot analysis,northern blot,,,,,"a northern blot analysis is an assay allowing monitoring presence of gene transcripts  by hybridizing labeled RNA or DNA probes against messenger RNAs isolated from tissue or cell cultures, resolved on denaturing agarose gel, transfered by blotting procedure to a nitrocellulose or nylon membrane and immobilized by cross linking or baking to the membrane. Detection of  hybridization signals is carried out by immunofluorescence or radioactivity measurements using photographic films or digital imaging devices such as Phosphor Imager",,"PMID: 18428227. Analysis of RNA by northern blot hybridization.
Brown T, Mackey K.  Curr Protoc Hum Genet. 2001 Nov;Appendix 3:Appendix 3K.",2010-01-31: Philippe Rocca-Serra: Need to add a restriction taking into account probe and transcript information,,Person: Philippe Rocca-Serra,metadata incomplete,subclass,,analyte assay,,,polyA RNA extract,,,scattered molecular aggregate and ('has grain' only 'nucleic acid'),,,,measurement datum,gene expression,,,
OBI:0000865,FALSE,,96-well neutralization assay,microneutralization assay,,,,,A serum neutralization of viral infectivity assay which done in a 96-well plate.,,,,"MC: 20100217: microneutralization is used by the influenza community, to refer to a nutralizationassay at a smaller scale. However smaller is difficult to define accurately, and we therefore chose a label being more specific.",person: Bjoern Peters|person: Melanie Courtot,metadata complete,subclass,,serum neutralization of viral infectivity assay,,,,,,,,,,,,,,
OBI:0000870,FALSE,,single-nucleotide-resolution nucleic acid structure mapping assay,,,,,,is an assay which aims to provide information about the secondary structure of nucleic acids using chemical or enzymatic probing to establish the extent of base-pairing or solvent accessiblity.,RNAO,,2010-01-31: Philippe Rocca-Serra: OBI needs to review 'structure assay' as currently defined. Need to get feedback from Kevin Clancy.,,Person: Philippe Rocca-Serra,metadata complete,subclass,(has_specified_output some ('measurement datum' and ('is about' some 'secondary structure of sequence macromolecule'))) and (achieves_planned_objective some 'assay objective'),assay,,,,,,,,,,measurement datum,secondary structure of a sequence macromolecule,,,
OBI:0000871,FALSE,,viral hemagglutination assay,viral hemeagglutination assay|HI|HA,,,,,The viral hemagglutination assay (HA) is a quantification of viruses by hemagglutination.,WEB: http://en.wikipedia.org/wiki/Hemagglutination_assay,,,,person: Bjoern Peters|person: Melanie Courtot,metadata complete,subclass,,analyte assay,induced hemagglutination,,,,,,,,,measurement datum,viruses,,,
OBI:0000872,FALSE,,serum neutralization of viral infectivity assay,influenza neutralization assay,,,,,"A quantitative assay where different
dilutions of serum are mixed with virus and used to infect cells. At
the lower dilutions, antibodies will block infection, but at higher
dilutions, there will be too few antibodies to have an effect. The
simple process of dilution provides a way to compare the virus-
neutralizing abilities of different sera. The neutralization titer is
expressed as the reciprocal of the highest dilution at which virus
infection is blocked.",WEB: http://www.virology.ws/2009/05/28/influenza-microneutralization-assay/,,,"MC, 20100217: I added influenza neutralization assay as alternative term. This should be tagged with a community specific value, eg ""influenza ontology"" or else.",person: Bjoern Peters|person: Melanie Courtot,metadata complete,subclass,,analyte assay,,,,,,,,,,,,,,
OBI:0000875,FALSE,,viral hemagglutination inhibition assay,,,,,,"An assay that measures the ability of an evaluant to inhibit hemagglutination by a virus. Hemagglutinin is a viral protein which binds to sialic acid receptors on cells or to erythrocytes, causing the cells to clump. Loss of clumping indicates hemagglutination inhibition by the antibody.",Bjoern and Melanie,Examining the ability of a monoclonal antibody to inhibit hemagglutination by Influenza A virus by comparing the levels of hemagglutination with and without the presence of the antibody.,,,Bjoern and Melanie,,subclass,assay and (has_specified_input some Viruses) and (has_specified_output some ('is about' some 'induced hemagglutination')),assay,,,,,,,,Viruses,Viruses,,induced hemagglutination,,,
OBI:0000892,FALSE,,Southern blot analysis,Southern blot,,,,,"Southern blot analysis is a an assay used in molecular biology to assert the presence/absence status  of a specific DNA sequence in DNA samples. DNA samples to be assayed are first digested by restriction enzymes, fragments are then resolved by gel electrophoresis following by a blotting ensuring transfer to  nitrocellulose or nylon membrane. Immobilization of DNA fragments to the membrane is achieved by UV crosslinking and/or baking. Probes raised against the specific sequences are then hybridized to the membrane.  Detection of  hybridization signals is carried out by immunofluorescence or radioactivity measurements using photographic films or digital imaging devices such as Phosphor Imager.",OBI & Wikipedia,"PMID: 9452032. Germline mutations detected in the von Hippel-Lindau disease tumor suppressor gene by Southern blot and direct genomic DNA sequencing. Li C, Weber G, Ekman P, Lagercrantz J, Norlen BJ, Akerstrí_m G, Nordenskjí_ld M, Bergerheim US. Hum Mutat. 1998;Suppl 1:S31-3.","2010-01-31: Philippe Rocca-Serra: 
departure from naming convention as the assay is named after Edwin Southern.|2010-01-31: Philippe Rocca-Serra:
need extra work on 'labeled probe'",,Person: Philippe Rocca-Serra,metadata complete,subclass,,analyte assay,,,high molecular weight DNA extract,,,scattered molecular aggregate' and ('has grain' only 'nucleic acid'),,,,measurement datum,site,,,
OBI:0000893,FALSE,,real time polymerase chain reaction assay,Q-PCR|quantitative real time polymerase chain reaction|kinetic polymerase chain reaction|qPCR,,,real time PCR,,"A laboratory technique based on the PCR, which is used to
amplify and simultaneously quantify a specific DNA
molecule based on the use of complementary probes/primers. It enables
both detection and quantification (as absolute number of copies or relative
amount when normalized to DNA input or additional normalizing genes) of one
or more specific sequences in a DNA sample.",WEB: http://en.wikipedia.org/wiki/Real-time_polymerase_chain_reaction,,,,person: Bjoern Peters|person: Melanie Courtot,metadata complete,subclass,,assay,polymerase chain reaction,,,,,,,,,,,,,
OBI:0000897,FALSE,,DEPC structure mapping assay,,,,,,is a single-nucleotide-resolution nucleic acid structure mapping assay which uses DEPC as reagent and chemical probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:2446263. Probing the structure of RNAs in solution. Nucleic Acids Res. 1987 Nov 25;15(22):9109-28.,,,Person: Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,,,deoxyribonucleic acid or ribonucleic acid,DNA or RNA,measurement datum,secondary structure of sequence macromolecule,,,
OBI:0000911,FALSE,,real time reverse-transcription polymerase chain reaction assay,RRT-PCR|qRT-PCR|RT-rt PCR,,,,,Is_a PCR real time preceded by a reverse transcription step (reverse transcription step = an RNA strand is reverse transcribed into its DNA complement using the enzyme reverse transcriptase),,,,,PERSON: Melanie Courtot|PERSON: Bjoern Peters,metadata complete,subclass,assay and ('has part' some ('real time polymerase chain reaction assay' and ('immediately preceded by' some 'artificially induced reverse transcription'))) and ('immediately preceded by' some 'artificially induced reverse transcription'),assay,real time polymerase chain reaction assay  artificially induced reverse transcription,,,,,,,,,information content entity,gene expression,,We defined assay with different output. Is it good to define one assay has part another assay? Or better another planned process without defining output.  artificially induced reverse transcription,
OBI:0000944,FALSE,,handedness assay,handedness test,,,,,A handedness assay measures the unequal distribution of fine motor skill between the left and right hands typically in human subjects by means of some questionnaire and scoring procedure.,http://en.wikipedia.org/wiki/Handedness,The Edinburgh handedness assay is a specific method of determing handedness,,,Helen Parkinson,metadata complete,subclass,assay and (has_specified_output some ('measurement datum' and ('is about' some handedness))),assay,,,,,,,,,,measurement datum,handedness,,,
OBI:0000957,FALSE,,self reported handedness assessment,,,,,,An assay in which a person makes a statement that indicates what handedness he has from a choice of different categories.,,,,,,metadata incomplete,subclass,,handedness assay,,,,,,,,,,categorical measurement datum,handedness,,,
OBI:0000964,FALSE,,in live cell assay,,,,,,An assay in which a measurement is made by observing entities located in a live cell.,,,,,,metadata incomplete,subclass,,assay,,,,,,,,,,,,,,
OBI:0000966,FALSE,,in live organism assay,in vivo assay,,,,,An assay in which a measurement is made by observing entities located in an organism.,,Measuring the rate in which cells that are pulsed with a peptide are killed inside a mouse by peptide specific cytotoxic T cells.,,,PERSON:Bjoern Peters,metadata complete,subclass,assay and ('has participant' some ('located in' some (organism and ('has quality' some alive)))),assay,,,,,,,,,,,,,,
OBI:0000978,FALSE,,in container assay,,,,,,an assay in which a measurement is made by observing entities located in a container.,,,,,,metadata incomplete,subclass,,assay,,,,,,,,,,,,,,
OBI:0001001,FALSE,,Edinburgh handedness assay,,,,,,"The Edinburgh Handedness assay is an assay in which a set of questions  = the Edinburgh Handedness inventory - is asked and the answers to these questions are turned into a score, used to assess the dominance of a person's right or left hand in everyday activities. The inventory can be used by an observer assessing the person, or by a person self-reporting hand use. The latter method tends to be less reliable due to a person over-attributing tasks to the dominant hand.",WEB:http://en.wikipedia.org/wiki/Edinburgh_Handedness_Inventory,,,,Person:Alan Ruttenberg|PERSON:Jessica Turner,metadata complete,subclass,,handedness assay,,,,,,,,Edinburgh handedness inventory,data item,Edinburgh score,,,,
OBI:0001005,FALSE,,RNASE CL3 structure mapping assay,single nucleotide resolution mapping assay using RNAse CL3,,,,,a single-nucleotide-resolution ribonucleic acid structure mapping assay which uses RNAse CL3 as reagent and enzymatic probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:16453415,,,Person:Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using enzymatic probing,,,,,,,,ribonucleic acid,RNA,measurement datum,secondary structure of RNA molecule,,,
OBI:0001006,FALSE,,CMCT structure mapping assay,single nucleotide resolution mapping assay using CMCT probe,,,,,a single-nucleotide-resolution nucleic acid structure mapping assay which uses CMCT as reagent and chemical probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:2422386 and PMID:2446263,,,Person: Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,,,deoxyribonucleic acid or ribonucleic acid,DNA or RNA,measurement datum,secondary structure of sequence macromolecule,,,
OBI:0001008,FALSE,,MPE-Fe(II) structure mapping assay,single nucleotide resolution mapping assay using Fe-MP probe,,,,,a single-nucleotide-resolution ribonucleic acid structure mapping assay which uses Fe-MP as reagent and chemical probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:6209709,,,Person: Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,,,ribonucleic acid,RNA,measurement datum,secondary structure of RNA molecule,,,
OBI:0001011,FALSE,,ENU structure mapping assay,single nucleotide resolution mapping assay using ENU probe,,,,,a single-nucleotide-resolution nucleic acid structure mapping assay which uses ENU as reagent and chemical probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:7002606 and PMID:2446263,,,Person: Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,,,deoxyribonucleic acid or ribonucleic acid,DNA or RNA,measurement datum,secondary structure of RNA molecule,,,
OBI:0001012,FALSE,,RNASE V1 structure mapping assay,single nucleotide resolution mapping assay using RNAse V1,,,,,a single-nucleotide-resolution ribonucleic acid structure mapping assay which uses RNAse V1 as reagent and enzymatic probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:7031604,,,Person:Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using enzymatic probing,,,,,,,,ribonucleic acid,RNA,measurement datum,secondary structure of RNA molecule,,,
OBI:0001013,FALSE,,kethoxal structure mapping assay,,,,,,is a single-nucleotide-resolution nucleic acid structure mapping assay which uses kethoxal as reagent and chemical probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,single nucleotide resolution mapping assay using Kethoxal probe,,,Person: Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,,,deoxyribonucleic acid or ribonucleic acid,DNA or RNA,measurement datum,secondary structure of sequence macromolecule,,,
OBI:0001014,FALSE,,single-nucleotide-resolution nucleic acid structure mapping assay using enzymatic probing,,,,,,a single-nucleotide-resolution nucleic acid structure mapping assay which relies on proteins acting as enzymatic probes  in order to produce measurement information which one interpreted provide structural information about the RNA species under study.,RNAO and OBI,,,,Person: Philippe Rocca-Serra,ready for release,subclass,realizes some ('catalytic activity' and ('inheres in' some protein)),single-nucleotide-resolution nucleic acid structure mapping assay,,,,,,,,,,,,,,
OBI:0001015,FALSE,,DMS structure mapping assay,single nucleotide resolution mapping assay using DMS probe,,,,,a single-nucleotide-resolution nucleic acid structure mapping assay which uses DMS as reagent and chemical probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA Ontology,PMID:6159633 and PMID:2446263,,,Person: Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,,,deoxyribonucleic acid or ribonucleic acid,DNA or RNA,measurement datum,secondary structure of sequence macromolecule,,,
OBI:0001016,FALSE,,DNASE 1 structure mapping assay,single nucleotide resolution mapping assay using DNAse I|DNAse footprinting assay,,,,,a single-nucleotide-resolution deoxyribonucleic acid structure mapping assay which uses DNAse 1 as reagent and enzymatic probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:3773731,,,Person:Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using enzymatic probing,,,,,,,,deoxyribonucleic acid,DNA,measurement datum,secondary structure of sequence macromolecule,,,
OBI:0001017,FALSE,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,a single-nucleotide-resolution nucleic acid structure mapping assay which relies on small chemical compounds acting as chemical probes  in order to produce measurement information which one interpreted provide structural information about the RNA species under study.,RNAO and OBI,,,,Person: Philippe Rocca-Serra,ready for release,subclass,(realizes some ('reagent role' and ('inheres in' some ('molecular entity' or 'nucleic acid')))) and (has_specified_output some ('measurement datum' and ('is about' some 'secondary structure of sequence macromolecule'))),single-nucleotide-resolution nucleic acid structure mapping assay,,,,,,,,,,measurement datum,secondary structure of sequence macromolecule,,specified 'reagent role',
OBI:0001018,FALSE,,Rhodium DNA structure mapping assay,single nucleotide resolution mapping assay using Rhodium probe,,,,,a single-nucleotide-resolution nucleic acid structure mapping assay which uses Rhodium as reagent and chemical probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:2843807,,,Person:Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,,,deoxyribonucleic acid or ribonucleic acid,DNA or RNA,measurement datum,secondary structure of sequence macromolecule,,,
OBI:0001019,FALSE,,RNA ADA I RNA structure mapping assay,single nucleotide resolution mapping assay using RNA adenosine deaminase I,,,,,a single-nucleotide-resolution ribonucleic acid structure mapping assay which uses RNA adenosine deaminase I as reagent and enzymatic probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:7527340,,,Person: Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using enzymatic probing,,,,,,,,ribonucleic acid,RNA,measurement datum,secondary structure of RNA molecule,,,
OBI:0001020,FALSE,,Lead structure mapping assay,single nucleotide resolution mapping assay using Lead probe,,,,,a single-nucleotide-resolution nucleic acid structure mapping assay which uses lead as reagent and chemical probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:2686708,,,Person:Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,,,deoxyribonucleic acid or ribonucleic acid,DNA or RNA,measurement datum,secondary structure of sequence macromolecule,,,
OBI:0001021,FALSE,,RNASE T2 structure mapping assay,single nucleotide resolution mapping assay using RNAse T2,,,,,a single-nucleotide-resolution ribonucleic acid structure mapping assay which uses RNAse T2 as reagent and enzymatic probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:6207483,,,Person:Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using enzymatic probing,,,,,,,,ribonucleic acid,RNA,measurement datum,secondary structure of RNA molecule,,,
OBI:0001022,FALSE,,gene dosage assay,,,,,,"an assay of changes in phenotype due to increased or decreased
dosage of a single allele of a gene.",David Osumi Sutherland,,,,PERSON: Bjoern Peters,metadata complete,subclass,,assay,,,,,,,,,,,,,,
OBI:0001023,FALSE,,Fe-BABE RNA structure mapping assay,single nucleotide resolution mapping assay using Fe-BABE probe,,,,,a single-nucleotide-resolution ribonucleic acid structure mapping assay which uses Fe-BABE as reagent and chemical probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID: 7862644,,,Person:Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,,,ribonucleic acid,RNA,measurement datum,secondary structure of RNA molecule,,,
OBI:0001024,FALSE,,RNASE U2 structure mapping assay,single nucleotide resolution mapping assay using RNAse U2,,,,,a single-nucleotide-resolution ribonucleic acid structure mapping assay which uses RNAase U2 as reagent and enzymatic probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:409999,,,Person:Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using enzymatic probing,,,,,,,,ribonucleic acid,RNA,measurement datum,secondary structure of RNA molecule,,,
OBI:0001025,FALSE,,binding constant determination assay,,,,,,A binding assay where the specified output is a binding constant,,Determination of KD value for an antibody binding a protein using a BIACORE assay.,,,"PERSON: Bjoern Peters, Randi Vita, Jason Greenbaum",metadata incomplete,subclass,binding assay' and (has_specified_output some 'binding constant'),binding assay,,,,,,,,,,binding constant,,,,
OBI:0001026,FALSE,,NMIA RNA structure mapping assay,single nucleotide resolution mapping assay using NMIA probe|SHAPE mapping assay,,,,,a single-nucleotide-resolution ribonucleic acid structure mapping assay which uses NMIA as reagent and chemical probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID: 15796531,,,Person:Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,,,ribonucleic acid,RNA,measurement datum,secondary structure of RNA molecule,,,
OBI:0001027,FALSE,,Terbium RNA structure mapping assay,single nucleotide resolution mapping assay using Terbium probe,,,,,a single-nucleotide-resolution nucleic acid structure mapping assay which uses Terbium as reagent and chemical probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:10772868,,,Person:Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,,,ribonucleic acid,RNA,measurement datum,secondary structure of RNA molecule,,,
OBI:0001029,FALSE,,OH-radical structure mapping assay,single nucleotide resolution mapping assay using OH-radical probe|MOHCA assay|OH footprinting assay,,,,,a single-nucleotide-resolution nucleic acid structure mapping assay which uses hydroxyl radical as reagent and chemical probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:2501870,,,Person:Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,,,deoxyribonucleic acid or ribonucleic acid,DNA or RNA,measurement datum,secondary structure of sequence macromolecule,,,
OBI:0001030,FALSE,,RNASE T1 structure mapping assay,single nucleotide resolution mapping assay using RNAse T1,,,,,a single-nucleotide-resolution ribonucleic acid structure mapping assay which uses RNAse T1 as reagent and enzymatic probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:114514,,,Person:Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using enzymatic probing,,,,,,,,ribonucleic acid,RNA,measurement datum,secondary structure of RNA molecule,,,
OBI:0001035,FALSE,,Nuclease S1 structure mapping assay,single nucleotide resolution mapping assay using Nuclease S1,,,,,a single-nucleotide-resolution deoxyribonucleic acid structure mapping assay which uses DNAse 1 as reagent and enzymatic probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:363143,,,Person: Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using enzymatic probing,,,,,,,,ribonucleic acid,RNA,measurement datum,secondary structure of sequence macromolecule,,,
OBI:0001038,FALSE,,Ruthenium structure mapping assay,,,,,,is a single-nucleotide-resolution nucleic acid structure mapping assay which uses Rhutenium as reagent and chemical probe to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNAOntology,PMID:3016894,,,Person:Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,,,deoxyribonucleic acid or ribonucleic acid,DNA or RNA,measurement datum,secondary structure of RNA molecule,,,
OBI:0001039,FALSE,,inline probing RNA structure mapping,,,,,,is a single-nucleotide-resolution ribonucleic acid structure mapping assay which uses intromolecular reactivity to generate data and information at nucleotide resolution scale contributing to the determination of nucleic acid secondary structure,RNA ontology,PMID:10573122 and PMID: 18369975,,,Person: Philippe Rocca-Serra,ready for release,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing,,,,,,,,ribonucleic acid,RNA,measurement datum,secondary structure of RNA molecule,,,
